Customer ID,DiscountApplied_encoded,Age,Dominant_Season_Fall,Category_Clothing,Category_Outerwear,Dominant_Season_Summer,PreviousPurchases,Category_Footwear,Category_Accessories,Customer_Loyalty_Score,Dominant_Season_Spring,Gender_Female,Dominant_Season_Winter,Size_encoded,Interaction_Score
1,1,0.7115384615384616,0,1,0,0,0.2653061224489795,0,0,0.546122448979592,1,0,0,0,0.2917500000000002
2,1,0.0192307692307692,0,1,0,0,0.0204081632653061,0,0,0.4481632653061225,1,0,0,0,0.3330000000000002
3,1,0.6153846153846154,1,1,0,0,0.4489795918367346,0,0,0.6995918367346938,0,0,0,2,0.3667500000000001
4,1,0.0576923076923077,1,0,0,0,0.9795918367346936,1,0,0.9118367346938776,0,0,0,1,0.5425
5,1,0.5192307692307693,0,1,0,0,0.6122448979591836,0,0,0.4448979591836735,1,0,0,1,0.16475
6,1,0.5384615384615385,0,0,0,0,0.2653061224489795,1,0,0.6261224489795918,1,0,0,1,0.1119999999999999
7,1,0.8653846153846155,0,1,0,0,0.9795918367346936,0,0,0.6718367346938775,0,0,1,1,0.4397500000000001
8,1,0.1730769230769231,0,1,0,0,0.3673469387755101,0,0,0.6669387755102041,1,0,0,0,0.2485000000000001
9,1,0.1538461538461538,0,0,1,0,0.1428571428571428,0,0,0.2571428571428571,1,0,0,0,0.31675
10,1,0.7500000000000001,1,0,0,0,0.0612244897959183,0,1,0.3044897959183673,0,0,0,1,0.68525
11,1,0.6730769230769232,0,0,0,1,0.510204081632653,1,0,0.8040816326530613,0,0,0,0,0.5005
12,1,0.2307692307692308,0,1,0,0,0.183673469387755,0,0,0.513469387755102,1,0,0,2,0.8520000000000001
13,1,0.826923076923077,0,0,1,0,0.7346938775510203,0,0,0.7338775510204081,1,0,0,1,0.7549999999999999
14,1,0.903846153846154,0,1,0,1,0.6122448979591836,0,0,0.7648979591836735,0,0,0,1,0.73225
15,1,0.8846153846153847,0,0,1,0,0.673469387755102,0,0,0.789387755102041,1,0,0,0,0.73975
16,1,0.8846153846153847,1,1,0,0,0.1428571428571428,0,0,0.4171428571428571,0,0,0,1,0.3127499999999998
17,1,0.1346153846153846,0,0,0,0,0.8775510204081631,0,1,0.9510204081632654,0,0,1,2,0.5079999999999999
18,1,0.6730769230769232,0,1,0,1,0.7142857142857142,0,0,0.5657142857142857,0,0,0,3,0.6835
19,1,0.6538461538461539,0,1,0,0,0.3265306122448979,0,0,0.6506122448979592,1,0,0,2,0.6929999999999998
20,1,0.9230769230769232,0,1,0,0,0.9183673469387754,0,0,0.9673469387755104,0,0,1,1,0.4865
21,1,0.0576923076923077,0,1,0,0,1.0,0,0,0.68,0,0,1,1,0.2002499999999998
22,1,0.25,0,1,0,0,0.4285714285714285,0,0,0.4514285714285714,0,0,1,1,0.6054999999999999
23,1,0.730769230769231,0,1,0,0,0.6326530612244897,0,0,0.4530612244897959,0,0,1,1,0.2597500000000001
24,1,0.25,0,1,0,0,0.7959183673469387,0,0,0.8383673469387756,0,0,1,3,0.7870000000000001
25,1,0.0,1,0,1,0,0.3061224489795918,0,0,0.6424489795918368,0,0,0,1,0.1194999999999999
26,1,0.0,0,1,0,0,0.2653061224489795,0,0,0.3061224489795918,0,0,1,1,0.32675
27,1,0.3846153846153847,0,0,0,1,0.2448979591836734,0,1,0.2979591836734694,0,0,0,1,0.308
28,1,0.730769230769231,0,1,0,0,0.1224489795918367,0,0,0.3289795918367347,1,0,0,0,0.835
29,1,0.6923076923076924,1,0,0,0,0.8163265306122448,0,1,0.6065306122448979,0,0,0,1,0.8095000000000001
30,1,0.25,0,1,0,1,0.2653061224489795,0,0,0.6261224489795918,0,0,0,2,0.5529999999999999
31,1,0.7500000000000001,0,0,0,1,0.3061224489795918,0,1,0.4824489795918367,0,0,0,0,0.65725
32,1,0.2884615384615385,0,1,0,1,0.8979591836734693,0,0,0.7191836734693877,0,0,0,0,0.83725
33,1,0.3461538461538461,1,0,1,0,0.7346938775510203,0,0,0.4938775510204081,0,0,0,1,0.8482500000000001
34,1,0.6923076923076924,0,1,0,0,0.8979591836734693,0,0,0.6391836734693878,0,0,1,0,0.2915
35,1,0.3461538461538461,0,1,0,0,0.7551020408163265,0,0,0.5820408163265307,0,0,1,0,0.8542499999999998
36,1,0.6923076923076924,0,1,0,0,0.9591836734693876,0,0,0.9836734693877552,1,0,0,1,0.46875
37,1,0.326923076923077,0,1,0,0,0.8775510204081631,0,0,0.7910204081632652,0,0,1,1,0.7717499999999998
38,1,0.326923076923077,1,1,0,0,0.183673469387755,0,0,0.593469387755102,0,0,0,2,0.1777499999999998
39,1,0.2115384615384615,0,1,0,1,0.8775510204081631,0,0,0.6310204081632653,0,0,0,1,0.3997500000000001
40,1,1.0,0,1,0,0,0.346938775510204,0,0,0.4987755102040817,0,0,1,2,0.6260000000000001
41,1,0.980769230769231,1,0,0,0,0.6122448979591836,0,1,0.5248979591836735,0,0,0,0,0.7979999999999998
42,1,0.9423076923076924,0,0,0,1,0.7959183673469387,0,1,0.5183673469387755,0,0,0,1,0.63125
43,1,0.0384615384615384,0,0,1,0,0.2857142857142856,0,0,0.3142857142857143,1,0,0,1,0.7479999999999999
44,1,0.1346153846153846,0,0,0,1,0.3673469387755101,0,1,0.586938775510204,0,0,0,0,0.5197500000000002
45,1,0.4038461538461538,1,0,0,0,0.8979591836734693,0,1,0.8791836734693879,0,0,0,2,0.7117499999999999
46,1,0.6153846153846154,1,1,0,0,0.4897959183673469,0,0,0.3959183673469388,0,0,0,3,0.1157499999999999
47,1,0.7500000000000001,0,1,0,0,0.8979591836734693,0,0,0.6391836734693878,0,0,1,0,0.1982499999999999
48,1,0.7115384615384616,0,0,0,1,0.7142857142857142,0,1,0.8057142857142858,0,0,0,1,0.6875
49,1,0.4615384615384615,0,1,0,0,0.7551020408163265,0,0,0.6620408163265307,0,0,1,1,0.18725
50,1,0.9615384615384616,0,1,0,0,0.673469387755102,0,0,0.869387755102041,0,0,1,2,0.6254999999999998
51,1,0.5961538461538463,0,1,0,0,0.7755102040816325,0,0,0.9102040816326532,1,0,0,1,0.3660000000000001
52,1,0.7884615384615384,1,1,0,0,0.1224489795918367,0,0,0.3289795918367347,0,0,0,3,0.76225
53,1,0.4615384615384615,0,1,0,0,0.510204081632653,0,0,0.7240816326530612,0,0,1,1,0.0279999999999999
54,1,0.2115384615384615,1,1,0,0,0.693877551020408,0,0,0.7975510204081633,0,0,0,2,0.407
55,1,0.5576923076923077,0,0,1,0,0.693877551020408,0,0,0.8775510204081634,1,0,0,1,0.7535000000000001
56,1,0.4230769230769231,1,0,1,0,0.9795918367346936,0,0,0.5918367346938775,0,0,0,1,0.17
57,1,0.4423076923076924,0,0,0,1,0.9183673469387754,0,1,0.8873469387755102,0,0,0,3,0.81475
58,1,0.0576923076923077,0,0,1,0,0.3265306122448979,0,0,0.5706122448979591,1,0,0,1,0.6970000000000002
59,1,0.980769230769231,0,1,0,0,0.5714285714285714,0,0,0.5885714285714285,0,0,1,1,0.6035000000000001
60,1,0.8653846153846155,1,0,0,0,0.0612244897959183,0,1,0.5444897959183674,0,0,0,0,0.8092499999999998
61,1,0.6153846153846154,0,1,0,0,0.3265306122448979,0,0,0.6506122448979592,1,0,0,0,0.48375
62,1,0.7115384615384616,0,0,0,1,0.4081632653061224,0,1,0.4432653061224489,0,0,0,1,0.796
63,1,0.2307692307692308,0,0,0,0,0.6122448979591836,1,0,0.6848979591836735,1,0,0,2,0.3677499999999999
64,1,0.2884615384615385,0,0,0,0,0.8571428571428571,0,1,0.862857142857143,0,0,1,0,0.27725
65,1,0.903846153846154,0,0,0,0,0.346938775510204,1,0,0.5787755102040817,1,0,0,2,0.88025
66,1,0.903846153846154,0,0,0,1,0.8775510204081631,0,1,0.6310204081632653,0,0,0,1,0.704
67,1,0.25,0,1,0,0,0.0408163265306122,0,0,0.2963265306122449,1,0,0,2,0.8935
68,1,0.5192307692307693,0,0,1,0,0.9795918367346936,0,0,0.7518367346938775,1,0,0,0,0.5807500000000001
69,1,0.7500000000000001,1,0,0,0,0.4081632653061224,0,1,0.4432653061224489,0,0,0,0,0.4895
70,1,0.576923076923077,1,0,0,0,0.0816326530612244,0,1,0.5526530612244898,0,0,0,2,0.7195000000000001
71,1,0.0769230769230769,1,0,0,0,0.6326530612244897,0,1,0.5330612244897959,0,0,0,1,0.5097500000000001
72,1,0.3461538461538461,0,1,0,1,0.673469387755102,0,0,0.4693877551020408,0,0,0,0,0.2169999999999999
73,1,0.0,0,1,0,1,0.4081632653061224,0,0,0.4432653061224489,0,0,0,1,0.1344999999999999
74,1,0.576923076923077,0,1,0,0,0.8571428571428571,0,0,0.9428571428571432,0,0,1,1,0.2997499999999999
