DiscountApplied_encoded,Age,Dominant_Season_Fall,Category_Clothing,Category_Outerwear,Dominant_Season_Summer,PreviousPurchases,Category_Footwear,Category_Accessories,Customer_Loyalty_Score,Dominant_Season_Spring,Gender_Female,Dominant_Season_Winter,Size_encoded,Interaction_Score
1,0.7115384615384616,0,1,0,0,0.2653061224489795,0,0,0.546122448979592,1,0,0,0,0.2917500000000002
1,0.0192307692307692,0,1,0,0,0.0204081632653061,0,0,0.4481632653061225,1,0,0,0,0.3330000000000002
1,0.6153846153846154,1,1,0,0,0.4489795918367346,0,0,0.6995918367346938,0,0,0,2,0.36675000000000013
1,0.0576923076923077,1,0,0,0,0.9795918367346936,1,0,0.9118367346938776,0,0,0,1,0.5425
1,0.5192307692307693,0,1,0,0,0.6122448979591836,0,0,0.4448979591836735,1,0,0,1,0.16475
1,0.5384615384615385,0,0,0,0,0.2653061224489795,1,0,0.6261224489795918,1,0,0,1,0.11199999999999992
1,0.8653846153846155,0,1,0,0,0.9795918367346936,0,0,0.6718367346938775,0,0,1,1,0.4397500000000001
1,0.1730769230769231,0,1,0,0,0.3673469387755101,0,0,0.6669387755102041,1,0,0,0,0.2485000000000001
1,0.1538461538461538,0,0,1,0,0.1428571428571428,0,0,0.2571428571428571,1,0,0,0,0.31675
1,0.7500000000000001,1,0,0,0,0.0612244897959183,0,1,0.30448979591836733,0,0,0,1,0.68525
1,0.6730769230769232,0,0,0,1,0.510204081632653,1,0,0.8040816326530613,0,0,0,0,0.5005
1,0.2307692307692308,0,1,0,0,0.183673469387755,0,0,0.513469387755102,1,0,0,2,0.8520000000000001
1,0.826923076923077,0,0,1,0,0.7346938775510203,0,0,0.7338775510204081,1,0,0,1,0.7549999999999999
1,0.903846153846154,0,1,0,1,0.6122448979591836,0,0,0.7648979591836735,0,0,0,1,0.73225
1,0.8846153846153847,0,0,1,0,0.673469387755102,0,0,0.789387755102041,1,0,0,0,0.73975
1,0.8846153846153847,1,1,0,0,0.1428571428571428,0,0,0.41714285714285715,0,0,0,1,0.31274999999999986
1,0.1346153846153846,0,0,0,0,0.8775510204081631,0,1,0.9510204081632654,0,0,1,2,0.5079999999999999
1,0.6730769230769232,0,1,0,1,0.7142857142857142,0,0,0.5657142857142857,0,0,0,3,0.6835
1,0.6538461538461539,0,1,0,0,0.3265306122448979,0,0,0.6506122448979592,1,0,0,2,0.6929999999999998
1,0.9230769230769232,0,1,0,0,0.9183673469387754,0,0,0.9673469387755103,0,0,1,1,0.4865
1,0.0576923076923077,0,1,0,0,1.0,0,0,0.68,0,0,1,1,0.20024999999999984
1,0.25,0,1,0,0,0.4285714285714285,0,0,0.45142857142857146,0,0,1,1,0.6054999999999999
1,0.730769230769231,0,1,0,0,0.6326530612244897,0,0,0.4530612244897959,0,0,1,1,0.25975000000000015
1,0.25,0,1,0,0,0.7959183673469387,0,0,0.8383673469387756,0,0,1,3,0.7870000000000001
1,0.0,1,0,1,0,0.3061224489795918,0,0,0.6424489795918368,0,0,0,1,0.11949999999999991
1,0.0,0,1,0,0,0.2653061224489795,0,0,0.30612244897959184,0,0,1,1,0.32675000000000004
1,0.3846153846153847,0,0,0,1,0.2448979591836734,0,1,0.2979591836734694,0,0,0,1,0.30800000000000005
1,0.730769230769231,0,1,0,0,0.1224489795918367,0,0,0.3289795918367347,1,0,0,0,0.835
1,0.6923076923076924,1,0,0,0,0.8163265306122448,0,1,0.6065306122448979,0,0,0,1,0.8095000000000001
1,0.25,0,1,0,1,0.2653061224489795,0,0,0.6261224489795918,0,0,0,2,0.5529999999999999
1,0.7500000000000001,0,0,0,1,0.3061224489795918,0,1,0.48244897959183675,0,0,0,0,0.65725
1,0.2884615384615385,0,1,0,1,0.8979591836734693,0,0,0.7191836734693877,0,0,0,0,0.83725
1,0.3461538461538461,1,0,1,0,0.7346938775510203,0,0,0.49387755102040815,0,0,0,1,0.8482500000000001
1,0.6923076923076924,0,1,0,0,0.8979591836734693,0,0,0.6391836734693878,0,0,1,0,0.2915
1,0.3461538461538461,0,1,0,0,0.7551020408163265,0,0,0.5820408163265307,0,0,1,0,0.8542499999999998
1,0.6923076923076924,0,1,0,0,0.9591836734693876,0,0,0.9836734693877551,1,0,0,1,0.46875000000000006
